79582 2455 
9 1 0.000000280
12 1 0.000001393
72 1 0.000005523
89 1 0.000006496
100 1 0.000004778
108 1 0.000004156
109 1 0.000005683
120 1 0.000001053
137 1 0.000002240
151 1 0.000007792
152 1 0.000007497
155 1 0.000011990
178 1 0.000011835
193 1 0.000011926
194 1 0.000010413
195 1 0.000016318
196 1 0.000015898
222 1 0.000016611
224 1 0.000019212
228 1 0.000010667
230 1 0.000014717
232 1 0.000019832
234 1 0.000015856
236 1 0.000008053
239 1 0.000012658
251 1 0.000020954
261 1 0.000020424
268 1 0.000022915
276 1 0.000001109
292 1 0.000024024
295 1 0.000023967
299 1 0.000015014
307 1 0.000018225
310 1 0.000021569
323 1 0.000025789
334 1 0.000018326
335 1 0.000007906
336 1 0.000025163
363 1 0.000020935
364 1 0.000022832
367 1 0.000017120
373 1 0.000026096
380 1 0.000009920
382 1 0.000018861
383 1 0.000012700
387 1 0.000025455
395 1 0.000023004
406 1 0.000023386
415 1 0.000024414
433 1 0.000009917
434 1 0.000013054
435 1 0.000023741
440 1 0.000020035
453 1 0.000021554
456 1 0.000021423
464 1 0.000014806
465 1 0.000010849
466 1 0.000006534
469 1 0.000006271
471 1 0.000009247
489 1 0.000020216
494 1 0.000014078
514 1 0.000000559
523 1 0.000001107
524 1 0.000012110
536 1 0.000016006
537 1 0.000011729
560 1 0.000013066
565 1 0.000003858
595 1 0.000009948
606 1 0.000009396
674 1 0.000005216
679 1 0.000003956
698 1 0.000004164
702 1 0.000004177
8 2 0.000000962
18 2 0.000001609
21 2 0.000001586
46 2 0.000003259
50 2 0.000003156
76 2 0.000005348
110 2 0.000008118
124 2 0.000009725
132 2 0.000002112
144 2 0.000010986
165 2 0.000012498
187 2 0.000000995
188 2 0.000000005
190 2 0.000011160
205 2 0.000016831
208 2 0.000014508
219 2 0.000018766
233 2 0.000010310
235 2 0.000014102
241 2 0.000019236
243 2 0.000005218
253 2 0.000021611
254 2 0.000021859
256 2 0.000007897
261 2 0.000002985
264 2 0.000018657
273 2 0.000011403
278 2 0.000011268
281 2 0.000015781
285 2 0.000022285
288 2 0.000024423
293 2 0.000022888
304 2 0.000008132
309 2 0.000020487
313 2 0.000020722
315 2 0.000024950
327 2 0.000004018
335 2 0.000017002
346 2 0.000023756
347 2 0.000024075
357 2 0.000026183
358 2 0.000019715
368 2 0.000020433
380 2 0.000014492
388 2 0.000021724
392 2 0.000025132
396 2 0.000012742
403 2 0.000022408
405 2 0.000016678
406 2 0.000002896
410 2 0.000017813
416 2 0.000005127
420 2 0.000024682
427 2 0.000022674
439 2 0.000018356
450 2 0.000013356
465 2 0.000009523
473 2 0.000021315
489 2 0.000000901
494 2 0.000005105
503 2 0.000010337
512 2 0.000017590
514 2 0.000017476
517 2 0.000010008
527 2 0.000012785
531 2 0.000014853
533 2 0.000014889
550 2 0.000001882
556 2 0.000003710
558 2 0.000013718
566 2 0.000004322
567 2 0.000002026
570 2 0.000012387
573 2 0.000012361
591 2 0.000007444
599 2 0.000008962
621 2 0.000008351
625 2 0.000002118
656 2 0.000006710
763 2 0.000002123
55 3 0.000004620
63 3 0.000004633
91 3 0.000000818
92 3 0.000006936
121 3 0.000003070
128 3 0.000006674
136 3 0.000012081
139 3 0.000012766
148 3 0.000009295
154 3 0.000013134
174 3 0.000016242
213 3 0.000021442
214 3 0.000018558
217 3 0.000010039
225 3 0.000021164
242 3 0.000012673
246 3 0.000004433
259 3 0.000026170
262 3 0.000018754
263 3 0.000024214
287 3 0.000028112
296 3 0.000026346
298 3 0.000024086
306 3 0.000023346
317 3 0.000029701
328 3 0.000028369
337 3 0.000019381
339 3 0.000029148
341 3 0.000024041
345 3 0.000015603
356 3 0.000026178
374 3 0.000020896
378 3 0.000030184
399 3 0.000021669
404 3 0.000004611
408 3 0.000010307
417 3 0.000023028
421 3 0.000001549
422 3 0.000028878
436 3 0.000026200
449 3 0.000005381
452 3 0.000012033
455 3 0.000002141
457 3 0.000022695
461 3 0.000010699
474 3 0.000019090
478 3 0.000004027
485 3 0.000021524
488 3 0.000023688
496 3 0.000017469
506 3 0.000020272
509 3 0.000006642
511 3 0.000020259
538 3 0.000005846
539 3 0.000015635
543 3 0.000002300
549 3 0.000012121
564 3 0.000005730
579 3 0.000010842
583 3 0.000012962
586 3 0.000008033
596 3 0.000009748
600 3 0.000012060
611 3 0.000004770
624 3 0.000009325
651 3 0.000005422
695 3 0.000003511
709 3 0.000004437
775 3 0.000001989
6 4 0.000000215
17 4 0.000001875
41 4 0.000001105
100 4 0.000008334
102 4 0.000006427
103 4 0.000007632
126 4 0.000002968
131 4 0.000010156
149 4 0.000012803
152 4 0.000012576
156 4 0.000014306
170 4 0.000009675
171 4 0.000012884
178 4 0.000002069
188 4 0.000000254
193 4 0.000015255
195 4 0.000008935
198 4 0.000018696
199 4 0.000013356
211 4 0.000017650
233 4 0.000022700
235 4 0.000022396
239 4 0.000022133
261 4 0.000016821
264 4 0.000022614
281 4 0.000026542
288 4 0.000015850
293 4 0.000021177
309 4 0.000025577
310 4 0.000020802
323 4 0.000011025
324 4 0.000028899
333 4 0.000019351
334 4 0.000025603
335 4 0.000028852
346 4 0.000023609
349 4 0.000000611
352 4 0.000007216
362 4 0.000028649
364 4 0.000020813
368 4 0.000027209
373 4 0.000010543
380 4 0.000029304
392 4 0.000019209
396 4 0.000002110
407 4 0.000027249
410 4 0.000027301
420 4 0.000014905
427 4 0.000009024
433 4 0.000027215
445 4 0.000023705
451 4 0.000023138
456 4 0.000006506
464 4 0.000001993
473 4 0.000013729
501 4 0.000019941
503 4 0.000021140
512 4 0.000012771
516 4 0.000013385
542 4 0.000016919
555 4 0.000015618
558 4 0.000008502
567 4 0.000010543
588 4 0.000004955
606 4 0.000002810
621 4 0.000003393
641 4 0.000007461
681 4 0.000001419
