980 781 
4 2 0.001000000
3 3 0.001000000
5 6 0.000818170
23 6 0.000181830
1 7 0.001000000
2 9 0.001000000
7 10 0.000947250
28 10 0.000052750
6 11 0.000752800
24 11 0.000247200
9 13 0.001000000
19 14 0.001000000
13 15 0.001000000
29 19 0.001000000
25 22 0.001000000
27 23 0.001000000
14 24 0.001000000
11 25 0.001000000
12 26 0.000249590
26 26 0.000750410
15 27 0.001000000
8 28 0.001000000
16 29 0.001000000
20 30 0.001000000
30 31 0.001000000
17 32 0.001000000
15 36 0.000069967
32 36 0.000930033
22 37 0.000654030
31 37 0.000345970
26 38 0.001000000
33 39 0.001000000
21 41 0.001000000
28 42 0.001000000
23 43 0.001000000
25 44 0.001000000
41 45 0.001000000
18 46 0.001000000
10 47 0.001000000
14 48 0.001000000
36 49 0.001000000
35 50 0.001000000
29 52 0.000237506
38 52 0.000762494
24 53 0.001000000
49 54 0.001000000
39 56 0.001000000
44 59 0.001000000
37 61 0.001000000
40 62 0.001000000
43 64 0.001000000
54 65 0.001000000
45 66 0.001000000
26 67 0.000062183
34 67 0.000065033
48 67 0.000872784
46 68 0.000884444
52 68 0.000115556
36 70 0.000065718
50 70 0.000934282
58 72 0.001000000
47 73 0.001000000
38 74 0.001000000
42 78 0.000321083
55 78 0.000678917
51 79 0.001000000
53 81 0.001000000
52 83 0.001000000
57 84 0.001000000
78 85 0.001000000
72 87 0.001000000
60 89 0.000959612
74 89 0.000040388
68 91 0.001000000
67 92 0.001000000
61 93 0.001000000
69 94 0.001000000
59 95 0.001000000
62 96 0.001000000
75 97 0.001000000
56 98 0.000961074
68 98 0.000038926
81 100 0.000907744
94 100 0.000092256
66 101 0.001000000
72 102 0.001000000
61 103 0.001000000
64 104 0.001000000
65 105 0.000917677
76 105 0.000082323
63 106 0.001000000
73 107 0.001000000
71 109 0.001000000
83 111 0.001000000
85 112 0.001000000
70 113 0.001000000
74 114 0.001000000
77 115 0.001000000
95 117 0.001000000
79 119 0.001000000
80 120 0.001000000
91 122 0.001000000
76 123 0.001000000
59 125 0.000028349
82 125 0.000971651
84 127 0.001000000
67 130 0.001000000
89 131 0.001000000
86 132 0.000560896
92 132 0.000439104
87 134 0.000733880
99 134 0.000266120
90 135 0.001000000
89 136 0.001000000
83 137 0.001000000
91 138 0.001000000
88 139 0.001000000
85 140 0.001000000
71 141 0.000078075
96 141 0.000921925
101 142 0.001000000
97 144 0.001000000
93 146 0.001000000
100 147 0.001000000
101 148 0.001000000
95 149 0.001000000
106 150 0.001000000
105 151 0.001000000
92 152 0.001000000
102 153 0.001000000
90 158 0.000110898
109 158 0.000889102
98 159 0.001000000
103 160 0.000785161
112 160 0.000214839
111 162 0.001000000
110 165 0.001000000
114 168 0.001000000
104 171 0.000847303
133 171 0.000152697
128 172 0.001000000
116 173 0.001000000
113 174 0.001000000
115 176 0.001000000
122 178 0.001000000
118 179 0.000631254
131 179 0.000368746
120 180 0.001000000
117 182 0.000985842
139 182 0.000014158
112 183 0.001000000
130 184 0.001000000
111 185 0.001000000
125 186 0.001000000
126 187 0.001000000
121 188 0.001000000
124 189 0.000361329
129 189 0.000638671
108 190 0.000229220
123 190 0.000587268
125 190 0.000183512
107 191 0.000262697
134 191 0.000737303
132 195 0.001000000
137 196 0.001000000
119 199 0.001000000
135 200 0.001000000
136 201 0.001000000
135 203 0.001000000
139 204 0.001000000
148 206 0.001000000
142 208 0.000413285
147 208 0.000586715
128 209 0.001000000
