75
36	1017
77	22
83	785
90	954
141	718
181	546
195	1417
203	126
209	617
211	1260
235	289
243	970
253	500
259	1470
297	427
329	503
332	23
343	584
350	1362
399	1454
407	968
444	1229
463	1068
510	158
523	1144
534	766
554	222
575	512
576	703
584	852
613	1092
634	668
662	97
667	1183
696	802
706	32
730	889
742	1358
790	516
803	989
814	11
817	310
851	376
870	1463
892	1391
925	880
948	1079
1052	935
1064	465
1084	191
1085	869
1092	1153
1093	1335
1108	111
1135	639
1143	464
1159	576
1165	1300
1166	1383
1170	205
1205	417
1232	613
1244	1072
1291	838
1309	1300
1317	1465
1347	331
1381	1426
1389	258
1397	939
1407	629
1412	3
1417	1127
1472	230
1472	594
