3894 1250 
20 1 0.001000000
53 2 0.001000000
25 3 0.000430594
28 3 0.000019236
44 3 0.000343905
54 3 0.000206266
2 4 0.000047292
13 4 0.000264845
19 4 0.000256197
45 4 0.000351126
63 4 0.000080539
3 5 0.000261536
28 5 0.000738464
30 6 0.001000000
21 7 0.000407373
23 7 0.000536426
89 7 0.000056201
1 8 0.000008727
6 8 0.000145134
9 8 0.000034290
27 8 0.000358978
39 8 0.000157034
64 8 0.000147652
66 8 0.000148185
4 9 0.000049632
18 9 0.000320228
38 9 0.000091490
53 9 0.000331170
60 9 0.000207480
39 10 0.000683948
57 10 0.000297996
98 10 0.000018056
5 11 0.000139713
12 11 0.000035887
20 11 0.000334016
35 11 0.000490384
15 12 0.000207676
43 12 0.000532923
58 12 0.000259401
48 13 0.000506549
72 13 0.000457245
107 13 0.000036206
32 14 0.000328498
52 14 0.000132228
56 14 0.000380898
69 14 0.000011655
80 14 0.000146721
47 15 0.000537082
62 15 0.000095598
63 15 0.000190824
91 15 0.000129095
96 15 0.000013094
108 15 0.000034307
41 16 0.000036274
55 16 0.000474139
67 16 0.000267602
87 16 0.000206831
123 16 0.000015155
64 17 0.001000000
7 18 0.000088077
24 18 0.000297022
51 18 0.000592178
73 18 0.000022724
26 19 0.000734973
99 19 0.000265027
38 20 0.000377658
60 20 0.000461827
95 20 0.000160515
32 21 0.000338507
52 21 0.000497972
69 21 0.000163521
33 22 0.000510299
45 22 0.000489701
38 23 0.000349885
65 23 0.000528480
88 23 0.000008248
95 23 0.000113387
10 24 0.000003525
37 24 0.000301253
48 24 0.000407627
82 24 0.000287595
3 25 0.000015273
22 25 0.000207370
28 25 0.000096980
44 25 0.000451106
93 25 0.000229271
36 26 0.000337564
46 26 0.000293230
77 26 0.000369206
49 27 0.001000000
11 28 0.000202491
40 28 0.000797509
50 29 0.000542348
62 29 0.000334390
68 29 0.000123262
16 30 0.000105741
57 30 0.000460995
72 30 0.000019333
74 30 0.000203199
85 30 0.000210732
42 31 0.000172596
52 31 0.000304465
69 31 0.000377268
97 31 0.000145672
25 32 0.000192564
54 32 0.000509397
84 32 0.000298040
34 33 0.000202013
37 33 0.000235176
67 33 0.000405667
82 33 0.000136283
109 33 0.000009389
126 33 0.000011472
30 34 0.000235263
51 34 0.000262514
61 34 0.000497057
104 34 0.000005165
31 35 0.000115979
42 35 0.000354039
69 35 0.000258632
92 35 0.000271350
29 36 0.000151360
49 36 0.000173133
53 36 0.000256329
73 36 0.000330584
110 36 0.000088594
28 37 0.000155081
59 37 0.000335743
70 37 0.000286330
75 37 0.000024404
90 37 0.000080057
93 37 0.000118385
47 39 0.000396038
62 39 0.000603962
8 40 0.000032534
75 40 0.000967466
58 41 0.000414695
79 41 0.000295404
89 41 0.000289902
27 42 0.000136176
57 42 0.000248129
66 42 0.000615694
47 44 0.000323297
63 44 0.000528145
81 44 0.000148557
88 45 0.001000000
55 46 0.001000000
58 47 0.000257157
79 47 0.000742843
14 48 0.000022695
17 48 0.000042664
48 48 0.000321489
72 48 0.000387054
109 48 0.000226097
81 49 0.000893954
95 49 0.000067306
136 49 0.000038739
69 50 0.000056673
80 50 0.000381649
94 50 0.000130334
97 50 0.000206211
115 50 0.000167152
131 50 0.000057980
40 51 0.000161207
72 51 0.000466422
74 51 0.000372371
50 52 0.000198087
83 52 0.000538241
119 52 0.000263672
50 53 0.000118881
62 53 0.000265954
76 53 0.000147307
96 53 0.000314355
108 53 0.000153503
51 54 0.000185422
78 54 0.000533274
114 54 0.000281304
65 55 0.000715205
129 55 0.000284795
86 56 0.000689974
114 56 0.000310026
64 57 0.000086638
77 57 0.000363338
89 57 0.000345204
121 57 0.000204821
85 58 0.000450212
98 58 0.000300822
113 58 0.000248966
95 59 0.000630881
120 59 0.000369119
75 60 0.000133558
93 60 0.000404129
100 60 0.000246592
118 60 0.000182242
124 60 0.000033480
109 61 0.001000000
67 62 0.000306780
87 62 0.000545734
99 62 0.000147486
92 63 0.000594548
112 63 0.000405452
76 64 0.000262554
91 64 0.000272832
108 64 0.000259318
122 64 0.000205297
73 65 0.000419149
104 65 0.000425229
139 65 0.000155622
80 66 0.000192974
97 66 0.000500974
112 66 0.000306052
101 67 0.000919384
145 67 0.000080616
57 68 0.000127317
74 68 0.000338959
98 68 0.000533724
117 69 0.000730193
118 69 0.000269807
130 70 0.000409701
136 70 0.000590299
71 71 0.000354801
102 71 0.000645199
111 72 0.000499900
117 72 0.000500100
87 73 0.000234300
99 73 0.000489313
132 73 0.000276387
41 74 0.000030209
83 74 0.000510474
119 74 0.000459317
75 75 0.000611760
147 75 0.000314927
163 75 0.000073313
86 76 0.000340995
116 76 0.000634139
131 76 0.000024865
66 77 0.000162354
85 77 0.000138404
101 77 0.000440618
113 77 0.000258625
79 78 0.000162748
89 78 0.000379557
111 78 0.000457695
65 79 0.000186545
81 79 0.000354346
95 79 0.000183584
105 79 0.000275524
88 80 0.000467546
110 80 0.000532454
