35156 1839 
17 1 0.000002756
40 1 0.000014252
42 1 0.000028860
72 1 0.000011088
74 1 0.000022876
92 1 0.000050658
100 1 0.000047816
106 1 0.000061951
131 1 0.000068536
153 1 0.000060519
164 1 0.000037468
209 1 0.000078482
216 1 0.000062496
225 1 0.000064850
232 1 0.000071444
241 1 0.000045001
247 1 0.000009410
248 1 0.000017465
249 1 0.000067090
269 1 0.000053243
276 1 0.000011518
281 1 0.000036748
282 1 0.000008040
301 1 0.000028656
347 1 0.000021269
385 1 0.000011857
394 1 0.000005650
1 2 0.000000688
22 2 0.000010657
76 2 0.000009885
119 2 0.000025758
122 2 0.000055997
125 2 0.000068816
146 2 0.000047544
163 2 0.000076144
173 2 0.000064658
174 2 0.000066628
175 2 0.000025768
183 2 0.000080476
193 2 0.000046065
208 2 0.000074315
213 2 0.000073393
237 2 0.000070465
255 2 0.000056769
283 2 0.000050661
292 2 0.000021032
318 2 0.000032885
334 2 0.000022599
358 2 0.000018796
49 3 0.000000476
57 3 0.000016746
89 3 0.000031674
98 3 0.000048099
124 3 0.000056507
140 3 0.000037201
150 3 0.000063947
152 3 0.000013054
158 3 0.000026246
160 3 0.000057675
170 3 0.000039739
177 3 0.000067989
182 3 0.000048133
186 3 0.000005685
200 3 0.000053065
201 3 0.000066312
215 3 0.000062650
221 3 0.000052840
250 3 0.000048225
261 3 0.000048695
270 3 0.000034908
278 3 0.000044847
295 3 0.000038439
340 3 0.000015094
359 3 0.000013337
396 3 0.000008416
2 4 0.000001915
35 4 0.000016227
103 4 0.000032471
117 4 0.000031461
119 4 0.000046560
135 4 0.000044982
143 4 0.000042836
144 4 0.000026910
156 4 0.000056383
163 4 0.000022869
164 4 0.000042935
165 4 0.000056175
173 4 0.000035776
188 4 0.000055291
206 4 0.000040316
213 4 0.000022492
223 4 0.000036269
226 4 0.000049398
228 4 0.000049611
247 4 0.000049260
259 4 0.000036102
264 4 0.000034190
276 4 0.000038159
277 4 0.000038059
281 4 0.000019493
309 4 0.000027903
316 4 0.000023100
321 4 0.000009979
338 4 0.000012878
15 5 0.000004076
28 5 0.000008483
57 5 0.000020605
69 5 0.000026486
73 5 0.000017403
89 5 0.000034109
98 5 0.000029613
101 5 0.000031649
110 5 0.000038391
121 5 0.000028282
124 5 0.000030057
132 5 0.000046857
137 5 0.000018857
150 5 0.000044288
152 5 0.000002683
172 5 0.000028887
177 5 0.000039261
182 5 0.000052586
186 5 0.000014907
198 5 0.000042468
201 5 0.000048991
221 5 0.000050526
231 5 0.000030626
234 5 0.000044602
239 5 0.000039034
244 5 0.000014300
258 5 0.000033521
261 5 0.000040261
265 5 0.000017858
270 5 0.000037108
278 5 0.000025369
293 5 0.000012877
324 5 0.000014232
350 5 0.000012059
372 5 0.000007676
392 5 0.000006581
415 5 0.000004431
5 6 0.000001625
20 6 0.000010716
25 6 0.000014823
29 6 0.000008788
51 6 0.000028378
54 6 0.000019247
93 6 0.000024446
122 6 0.000043860
136 6 0.000062154
138 6 0.000043644
149 6 0.000059494
163 6 0.000016923
174 6 0.000052005
175 6 0.000069594
184 6 0.000068137
187 6 0.000057324
208 6 0.000038921
210 6 0.000059898
212 6 0.000043613
217 6 0.000062453
224 6 0.000065349
233 6 0.000027944
289 6 0.000034354
292 6 0.000040778
303 6 0.000007430
310 6 0.000022699
320 6 0.000015401
47 7 0.000012488
59 7 0.000013651
71 7 0.000004011
81 7 0.000013442
87 7 0.000046864
102 7 0.000045698
127 7 0.000006108
139 7 0.000020088
145 7 0.000039411
150 7 0.000029798
152 7 0.000058713
161 7 0.000010991
170 7 0.000074839
177 7 0.000045092
180 7 0.000032957
181 7 0.000000007
200 7 0.000067474
201 7 0.000028074
204 7 0.000068133
215 7 0.000050168
220 7 0.000072440
234 7 0.000005924
244 7 0.000062931
256 7 0.000058246
271 7 0.000024272
299 7 0.000039170
315 7 0.000018663
327 7 0.000010107
335 7 0.000026665
404 7 0.000006219
406 7 0.000007356
87 8 0.000020170
114 8 0.000058137
127 8 0.000042502
128 8 0.000037830
139 8 0.000066343
145 8 0.000070218
152 8 0.000059817
161 8 0.000058513
170 8 0.000030388
192 8 0.000004634
194 8 0.000070835
227 8 0.000070352
229 8 0.000070380
250 8 0.000010537
251 8 0.000054652
256 8 0.000037681
271 8 0.000055225
273 8 0.000050295
287 8 0.000043465
306 8 0.000028330
323 8 0.000029286
327 8 0.000030410
1 9 0.000000642
58 9 0.000024454
82 9 0.000008636
93 9 0.000033674
94 9 0.000042823
103 9 0.000041676
116 9 0.000020185
135 9 0.000012829
143 9 0.000053957
144 9 0.000003525
146 9 0.000023215
156 9 0.000027532
163 9 0.000066376
164 9 0.000009316
165 9 0.000043591
183 9 0.000060593
208 9 0.000050652
223 9 0.000063252
224 9 0.000012532
237 9 0.000056201
247 9 0.000027321
255 9 0.000056404
277 9 0.000032047
289 9 0.000021066
297 9 0.000041449
307 9 0.000029251
309 9 0.000017661
318 9 0.000031132
333 9 0.000014198
334 9 0.000026294
343 9 0.000015037
353 9 0.000016594
371 9 0.000015884
11 10 0.000004054
55 10 0.000007495
62 10 0.000015308
67 10 0.000016584
81 10 0.000031792
83 10 0.000026252
107 10 0.000038992
114 10 0.000039331
115 10 0.000027616
120 10 0.000022022
145 10 0.000044559
152 10 0.000031844
154 10 0.000038072
157 10 0.000012297
161 10 0.000053458
191 10 0.000043524
194 10 0.000059191
196 10 0.000032577
204 10 0.000028773
207 10 0.000017024
219 10 0.000053972
227 10 0.000046235
242 10 0.000031672
251 10 0.000049913
256 10 0.000018793
268 10 0.000039525
271 10 0.000041663
282 10 0.000015123
287 10 0.000038969
314 10 0.000021368
344 10 0.000019851
365 10 0.000009418
368 10 0.000014181
389 10 0.000004168
418 10 0.000002441
447 10 0.000001944
75 11 0.000028022
77 11 0.000026664
100 11 0.000038044
106 11 0.000032600
