8837 1381 
3 1 0.000022254
24 1 0.000010404
35 1 0.000236613
51 1 0.000178035
60 1 0.000079077
67 1 0.000263200
78 1 0.000210417
17 2 0.000111818
29 2 0.000243040
77 2 0.000272812
102 2 0.000220519
118 2 0.000092893
143 2 0.000058919
31 3 0.000536110
104 3 0.000416282
130 3 0.000047608
36 4 0.000208159
43 4 0.000205110
58 4 0.000192497
73 4 0.000235954
89 4 0.000035641
92 4 0.000122638
6 5 0.000028088
18 5 0.000134957
31 5 0.000107701
46 5 0.000216363
50 5 0.000066513
68 5 0.000091062
71 5 0.000161272
87 5 0.000182449
138 5 0.000011595
9 6 0.000065987
21 6 0.000180972
30 6 0.000151928
49 6 0.000284464
90 6 0.000221157
116 6 0.000095493
15 7 0.000124400
45 7 0.000213148
47 7 0.000240880
74 7 0.000165477
109 7 0.000120439
114 7 0.000047277
119 7 0.000088379
23 8 0.000189821
27 8 0.000238198
45 8 0.000049912
64 8 0.000246688
95 8 0.000240410
146 8 0.000034971
5 9 0.000017179
17 9 0.000141605
41 9 0.000259355
63 9 0.000148620
77 9 0.000087950
81 9 0.000263257
94 9 0.000067941
137 9 0.000014093
8 10 0.000050041
14 10 0.000062638
34 10 0.000045485
64 10 0.000265744
85 10 0.000183697
95 10 0.000192798
115 10 0.000134367
131 10 0.000065229
20 11 0.000037088
44 11 0.000289621
75 11 0.000187991
91 11 0.000303538
92 11 0.000046243
126 11 0.000135518
19 12 0.000084589
38 12 0.000123463
47 12 0.000161223
50 12 0.000071610
70 12 0.000187689
82 12 0.000104537
86 12 0.000136290
109 12 0.000130598
39 13 0.000042968
65 13 0.000156307
66 13 0.000305638
76 13 0.000262493
96 13 0.000054885
103 13 0.000162397
115 13 0.000015312
4 14 0.000015858
9 14 0.000040512
49 14 0.000153936
55 14 0.000074689
57 14 0.000183951
84 14 0.000196458
90 14 0.000120062
110 14 0.000128567
124 14 0.000085967
58 15 0.000189434
60 15 0.000246273
75 15 0.000345908
92 15 0.000218385
33 16 0.000118782
59 16 0.000198767
83 16 0.000205779
96 16 0.000159585
97 16 0.000105032
117 16 0.000142322
129 16 0.000069733
32 17 0.000125172
45 17 0.000205039
61 17 0.000162788
74 17 0.000276700
93 17 0.000118040
95 17 0.000028697
133 17 0.000083563
48 18 0.000294249
54 18 0.000104727
77 18 0.000239289
116 18 0.000244970
147 18 0.000116765
16 19 0.000025918
35 19 0.000095074
51 19 0.000145460
67 19 0.000178045
78 19 0.000117683
83 19 0.000130117
97 19 0.000176815
117 19 0.000066119
152 19 0.000047402
160 19 0.000017367
63 20 0.000283667
73 20 0.000104392
94 20 0.000233987
111 20 0.000063165
118 20 0.000150135
137 20 0.000086217
153 20 0.000078436
9 21 0.000016937
22 21 0.000071332
57 21 0.000154492
80 21 0.000183406
84 21 0.000131743
98 21 0.000111806
110 21 0.000142488
127 21 0.000100691
132 21 0.000003593
145 21 0.000035577
148 21 0.000047934
1 22 0.000000541
36 22 0.000104301
42 22 0.000082119
58 22 0.000173668
73 22 0.000170517
92 22 0.000188601
94 22 0.000079166
106 22 0.000048639
111 22 0.000152449
36 23 0.000075360
54 23 0.000004315
58 23 0.000066400
63 23 0.000174406
73 23 0.000177377
89 23 0.000113933
94 23 0.000209490
111 23 0.000130879
136 23 0.000047841
11 24 0.000026979
59 24 0.000104854
62 24 0.000197024
76 24 0.000225366
101 24 0.000134390
112 24 0.000193003
140 24 0.000035224
142 24 0.000083159
50 25 0.000119267
71 25 0.000244591
82 25 0.000112032
87 25 0.000218753
99 25 0.000093719
109 25 0.000010751
123 25 0.000181053
157 25 0.000019834
23 26 0.000025033
61 26 0.000241238
74 26 0.000226604
93 26 0.000256087
107 26 0.000251038
28 27 0.000035307
41 27 0.000052401
48 27 0.000127734
54 27 0.000132287
77 27 0.000200960
79 27 0.000118776
81 27 0.000085714
102 27 0.000152803
143 27 0.000065978
173 27 0.000028041
23 28 0.000016139
40 28 0.000107663
66 28 0.000246039
85 28 0.000184832
103 28 0.000284399
128 28 0.000160928
7 29 0.000011226
26 29 0.000026731
35 29 0.000062217
44 29 0.000096811
51 29 0.000042772
78 29 0.000165996
91 29 0.000133892
97 29 0.000085925
106 29 0.000055605
113 29 0.000129767
126 29 0.000100637
141 29 0.000039085
152 29 0.000049335
64 30 0.000176309
85 30 0.000271334
103 30 0.000188531
115 30 0.000191606
128 30 0.000172220
9 31 0.000006427
69 31 0.000189731
80 31 0.000244173
98 31 0.000268584
127 31 0.000175956
145 31 0.000115129
45 32 0.000014077
46 32 0.000042929
47 32 0.000062070
70 32 0.000181030
82 32 0.000256495
86 32 0.000057328
104 32 0.000189999
138 32 0.000140143
151 32 0.000055929
59 33 0.000175112
62 33 0.000187351
76 33 0.000122716
96 33 0.000238720
101 33 0.000048861
112 33 0.000147009
142 33 0.000044769
178 33 0.000007298
181 33 0.000028164
21 34 0.000064331
49 34 0.000170359
84 34 0.000172064
90 34 0.000289467
116 34 0.000226411
147 34 0.000077368
2 35 0.000000976
37 35 0.000134732
88 35 0.000149578
98 35 0.000236291
122 35 0.000241386
127 35 0.000091917
132 35 0.000131771
200 35 0.000013349
54 36 0.000225810
81 36 0.000285382
102 36 0.000319544
108 36 0.000142259
162 36 0.000009548
186 36 0.000017456
53 37 0.000221231
87 37 0.000311842
99 37 0.000290540
120 37 0.000164900
198 37 0.000011486
45 38 0.000029555
61 38 0.000179914
93 38 0.000291790
95 38 0.000270556
131 38 0.000217030
210 38 0.000011155
10 39 0.000013297
42 39 0.000067713
58 39 0.000034673
67 39 0.000025493
75 39 0.000145022
91 39 0.000174939
106 39 0.000196055
126 39 0.000121943
136 39 0.000025867
141 39 0.000130744
155 39 0.000064254
38 40 0.000052791
46 40 0.000082436
70 40 0.000084289
82 40 0.000216873
104 40 0.000276190
109 40 0.000056843
123 40 0.000177088
166 40 0.000046539
207 40 0.000006951
32 41 0.000026071
47 41 0.000104137
70 41 0.000107351
74 41 0.000130375
109 41 0.000177355
119 41 0.000175879
133 41 0.000044957
144 41 0.000135962
154 41 0.000074432
176 41 0.000017824
207 41 0.000005657
52 42 0.000092468
64 42 0.000130851
65 42 0.000046929
93 42 0.000100544
95 42 0.000180809
115 42 0.000161393
128 42 0.000070260
131 42 0.000123505
133 42 0.000049001
161 42 0.000044240
49 43 0.000134064
79 43 0.000078481
84 43 0.000244846
90 43 0.000232957
110 43 0.000196441
149 43 0.000113211
42 44 0.000072413
73 44 0.000068603
92 44 0.000180417
106 44 0.000124228
111 44 0.000102672
121 44 0.000174642
136 44 0.000115762
155 44 0.000085965
170 44 0.000052256
189 44 0.000023042
41 45 0.000071264
54 45 0.000066384
73 45 0.000009149
81 45 0.000169505
89 45 0.000152220
102 45 0.000126998
116 45 0.000002120
118 45 0.000176862
125 45 0.000100060
153 45 0.000095949
162 45 0.000029491
59 46 0.000134322
97 46 0.000266410
112 46 0.000031353
129 46 0.000240822
135 46 0.000079432
152 46 0.000094147
156 46 0.000119387
160 46 0.000023629
197 46 0.000005918
216 46 0.000004581
47 47 0.000169840
70 47 0.000345038
114 47 0.000398905
154 47 0.000051860
182 47 0.000034357
62 48 0.000105547
76 48 0.000222700
101 48 0.000241850
112 48 0.000239454
142 48 0.000190449
20 49 0.000022785
43 49 0.000113822
58 49 0.000162104
111 49 0.000408215
121 49 0.000163755
125 49 0.000129319
79 50 0.000010660
80 50 0.000134098
84 50 0.000145448
90 50 0.000074755
110 50 0.000202556
127 50 0.000154072
148 50 0.000140342
164 50 0.000087664
175 50 0.000050405
66 51 0.000158332
76 51 0.000127642
101 51 0.000253883
128 51 0.000142617
140 51 0.000229009
178 51 0.000088516
35 52 0.000045238
97 52 0.000225261
113 52 0.000256431
126 52 0.000138130
141 52 0.000037302
152 52 0.000186738
156 52 0.000040051
188 52 0.000067703
243 52 0.000003147
60 53 0.000115052
75 53 0.000082879
91 53 0.000248871
113 53 0.000180461
121 53 0.000072456
126 53 0.000268070
188 53 0.000032211
13 54 0.000009617
79 54 0.000302166
81 54 0.000078987
90 54 0.000126003
108 54 0.000483227
36 55 0.000027076
73 55 0.000148013
89 55 0.000235906
92 55 0.000052456
137 55 0.000315426
162 55 0.000221124
